filename,numNodes,area,compromisedMW,compromisedMvar,meanDelay,stdDelay,initialTotalDemand,finalTotalDemand,finalDemandPercentage,generationCapacityTripped,loadsShed,overVoltageLoads,underVoltageLoads,compromisedPV
rms_L(28)_(34)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15911.054972210604,1.0222328925287891,0.0,0.0,0.0,0.0,0
rms_L(27)_(33)_(39)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15959.70872728106,1.025358736092583,0.0,0.0,0.0,0.0,0
rms_L(26)_(27)_(35)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15928.936532578118,1.023381723904794,0.0,0.0,0.0,0.0,0
rms_L(23)_(30)_(32)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16032.96027173334,1.030064906632402,0.0,0.0,0.0,0.0,0
rms_L(26)_(41)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15848.071655545093,1.018186421814654,0.0,0.0,0.0,0.0,0
rms_L(33)_(39)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15957.247659461267,1.0252006205885813,0.0,0.0,0.0,0.0,0
rms_L(23)_(30)_(42)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16001.23312608889,1.028026541990934,0.0,0.0,0.0,0.0,0
rms_L(24)_(38)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15990.098753806267,1.027311195233297,0.0,0.0,0.0,0.0,0
rms_L(24)_(29)_(33)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15944.458396163918,1.0243789525322144,0.0,0.0,0.0,0.0,0
rms_L(28)_(29)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15843.070003420537,1.01786508213431,0.0,0.0,0.0,0.0,0
rms_L(32)_(34)_(39)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15954.19538062648,1.025004521723513,0.0,0.0,0.0,0.0,0
rms_L(27)_(33)_(34)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15972.779771097306,1.0261985076194864,0.0,0.0,0.0,0.0,0
rms_L(28)_(31)_(36)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15918.896492446484,1.022736684384612,0.0,0.0,0.0,0.0,0
rms_L(23)_(41)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15968.34164980076,1.0259133729393357,0.0,0.0,0.0,0.0,0
rms_L(41)_(42)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15874.06557667481,1.0198564456585164,0.0,0.0,0.0,0.0,0
rms_L(26)_(38)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15959.860172876182,1.0253684659734137,0.0,0.0,0.0,0.0,0
rms_L(26)_(37)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15873.65553769614,1.0198301020042493,0.0,0.0,0.0,0.0,0
rms_L(23)_(26)_(34)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16026.387713693824,1.0296426414194555,0.0,0.0,0.0,0.0,0
rms_L(25)_(30)_(33)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15920.824102902006,1.0228605270094446,0.0,0.0,0.0,0.0,0
rms_L(31)_(37)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15874.709732707704,1.0198978305626536,0.0,0.0,0.0,0.0,0
rms_L(30)_(35)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15922.372393360612,1.0229599995734413,0.0,0.0,0.0,0.0,0
rms_L(23)_(34)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16022.95989045572,1.029422415063008,0.0,0.0,0.0,0.0,0
rms_L(30)_(33)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15909.237896563598,1.0221161514014518,0.0,0.0,0.0,0.0,0
rms_L(30)_(31)_(36)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15919.376715314884,1.022767537122704,0.0,0.0,0.0,0.0,0
rms_L(30)_(33)_(37)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15993.912872084096,1.0275562397741147,0.0,0.0,0.0,0.0,0
rms_L(23)_(31)_(40)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16000.781063005106,1.0279974984262836,0.0,0.0,0.0,0.0,0
rms_L(23)_(33)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15977.398512450887,1.026495246543584,0.0,0.0,0.0,0.0,0
rms_L(23)_(35)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16040.149888608024,1.0305268158437535,0.0,0.0,0.0,0.0,0
rms_L(29)_(34)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15910.983199792525,1.0222282813872483,0.0,0.0,0.0,0.0,0
rms_L(36)_(38)_(40)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16024.490445838095,1.029520748206752,0.0,0.0,0.0,0.0,0
rms_L(25)_(29)_(36)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15913.033888441048,1.022360031380729,0.0,0.0,0.0,0.0,0
rms_L(33)_(38)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16022.58871443032,1.0293985682255264,0.0,0.0,0.0,0.0,0
rms_L(27)_(39)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15891.97103360326,1.0210068123098786,0.0,0.0,0.0,0.0,0
rms_L(24)_(25)_(37)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15896.25973445516,1.0212823472184491,0.0,0.0,0.0,0.0,0
rms_L(32)_(36)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15926.218751854576,1.0232071154419902,0.0,0.0,0.0,0.0,0
rms_L(25)_(28)_(32)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15905.91788955599,1.0219028518828135,0.0,0.0,0.0,0.0,0
rms_L(26)_(28)_(38)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16041.146591235412,1.0305908507057766,0.0,0.0,0.0,0.0,0
rms_L(25)_(28)_(36)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15913.545977043932,1.022392931387339,0.0,0.0,0.0,0.0,0
rms_L(24)_(31)_(34)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15924.14852258416,1.0230741100278935,0.0,0.0,0.0,0.0,0
rms_L(24)_(35)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15948.891433400602,1.0246637605782591,0.0,0.0,0.0,0.0,0
rms_L(24)_(33)_(40)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15971.249219887315,1.0261001747438043,0.0,0.0,0.0,0.0,0
rms_L(24)_(29)_(31)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15895.6426429248,1.021242701119486,0.0,0.0,0.0,0.0,0
rms_L(26)_(30)_(34)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15931.778088914023,1.0235642845431432,0.0,0.0,0.0,0.0,0
rms_L(28)_(34)_(42)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15946.37079815147,1.0245018180630563,0.0,0.0,0.0,0.0,0
rms_L(25)_(27)_(33)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15919.300289187286,1.0227626269956496,0.0,0.0,0.0,0.0,0
rms_L(27)_(31)_(32)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15852.480330858834,1.0184696646873648,0.0,0.0,0.0,0.0,0
rms_L(38)_(40)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16018.049190759675,1.029106918776722,0.0,0.0,0.0,0.0,0
